1.451	7.234
1.451	7.234
1.459	6.567
1.459	7.023
1.489	6.648
1.489	6.713
1.502	6.420
1.502	6.452
1.515	6.598
1.515	6.614
1.523	6.679
1.523	6.858
1.569	6.499
1.586	6.547
1.586	6.580
1.591	6.417
1.591	6.417
1.605	6.563
1.645	6.416
1.658	6.513
1.658	6.513
1.666	6.577
1.666	6.675
1.685	6.805
1.709	6.999
1.709	6.999
1.718	6.934
1.718	6.950
1.730	6.982
1.730	6.998
1.726	7.064
1.726	7.064
1.748	7.063
1.748	7.112
1.550	6.862
1.542	6.824
1.537	6.813
1.538	6.713
1.531	6.680
1.525	6.697
1.552	6.585
1.559	6.585
1.561	6.518
1.577	6.518
1.579	6.568
1.596	6.567
1.611	6.567
1.611	6.788
1.617	6.788
1.617	6.810
1.626	6.810
1.626	6.677
1.632	6.677
1.632	6.594
1.638	6.594
1.640	6.427
1.655	6.427
1.672	6.753
1.682	6.753
1.699	7.046
1.713	6.957
1.722	6.957
1.722	7.068
1.741	6.995
1.739	7.112
1.757	7.095
1.762	7.061
1.473	6.615
1.496	6.420
